Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9
0.05934493,0,0,0,0,0,0,0,0.4070235,0.52195334
0.020273417,0,0,0,0.116850436,0,0,0.12188963,0.39348108,0.34278104
0.1893379,0,0.027898306,0.040390056,0.037573885,0,0.2625208,0,0,0.43863758
0.17426747,0,0,0,0,0,0,0.04174829,0.3974106,0.38085634
0.28651455,0,0.025962012,0.023717372,0,0,0,0.035882566,0.2353409,0.38763705
0,0,0,0.115258016,0,0,0,0,0.87447953,0
0,0,0,0,0.2380835,0,0,0,0.13502963,0.61790305
0.4525515,0,0,0,0.055802528,0.018281842,0.026329832,0.053260874,0.1370566,0.2545289
0.33762586,0,0,0,0,0,0,0.21866272,0.13991521,0.2991407
0,0,0,0,0,0,0.053508155,0,0,0.92058957
0,0,0.09792272,0,0.23940457,0.03169697,0,0.22737668,0.17479722,0.22498716
0.18533841,0,0,0,0.24446368,0,0,0,0.3187583,0.2468559
0.17191024,0,0,0.020267682,0,0,0.056602996,0.035560627,0.07309854,0.6374143
0,0,0,0,0.1085079,0,0,0,0.19490829,0.6919139
0,0,0,0,0,0,0.42715818,0.09804179,0,0.45885777
0,0,0,0,0.80364376,0,0,0,0.12905507,0.059247296
0,0,0,0,0,0,0,0.09475204,0.5205481,0.37725
0,0,0,0,0,0,0,0.14147489,0.3899327,0.4533683
0.04967261,0,0,0,0,0.013672248,0,0,0.3538559,0.5794826
0,0,0.02875948,0,0.20308147,0,0,0.052771203,0.5106328,0.20102143
0.90240765,0,0,0,0,0.06134709,0,0,0,0.029986573
0.24825618,0,0,0.026442645,0.3100423,0,0,0.09467895,0.31476456,0
0.23394302,0,0,0,0.15937203,0,0,0.026647069,0.5749827,0
0.6118475,0,0,0,0.05238517,0,0.013335732,0,0.0914952,0.22016396
0,0,0,0,0.29775083,0.011063402,0.029080039,0,0.07947056,0.5790867
0.16328849,0,0.055304557,0.2572852,0,0,0.033653293,0,0.25136578,0.23604655
0,0,0,0,0,0.027687792,0,0.41306466,0.40921077,0.14536904
0.60358334,0,0,0,0,0,0,0.05395121,0.28221762,0.05468799
0.20165817,0,0,0,0,0,0,0.24122442,0.4027244,0.14929421
0,0,0.06107994,0,0,0,0.07818502,0,0.42702594,0.42770404
0,0,0,0.21921957,0.06241911,0,0,0.03748655,0.05919575,0.6149023
0,0,0,0.118062414,0.03489063,0,0,0.05995804,0,0.78108424
0,0,0,0,0,0.043651633,0,0,0.08552994,0.86445117
0.07613631,0,0,0,0.20666173,0.08569569,0,0.051677622,0.07265854,0.50005376
0.023756906,0,0,0,0.7985169,0.027274052,0,0,0,0.13968867
0.084587224,0,0,0,0,0,0.019886538,0.15337095,0,0.73160774
0,0,0,0,0.42326638,0.045846276,0,0.16594273,0.35369328,0
0.14522365,0,0,0,0,0,0,0.056535564,0.7847738,0
0,0,0.02284516,0.08561927,0,0.092117816,0,0,0.62153983,0.1674542
0,0,0,0.019359527,0.18323357,0,0,0.055681124,0.40072986,0.33627465
0,0.0120803695,0,0,0,0.2279768,0,0.043595474,0.11230151,0.59851295
0,0,0,0,0.12592022,0,0,0.06946798,0,0.7903039
0,0,0.026966712,0,0,0.20091927,0.17127508,0.08112036,0.19508654,0.31949577
0,0,0,0,0.37589428,0,0,0,0.59909856,0
0,0,0.04948453,0,0.07900813,0.11700886,0,0,0.21141124,0.53117347
0.02751546,0,0,0,0.1509691,0,0.16165106,0.527485,0.08350964,0.046405815
0.10734653,0,0,0,0.11127255,0,0,0,0,0.76678675
0,0,0.012432886,0,0,0,0,0,0.75263035,0.2206474
0.26172984,0,0,0,0.045526966,0.055878166,0,0.04423562,0.29028648,0.29492572
0,0,0,0,0,0,0.25844416,0.12782711,0,0.5988299
0,0,0,0,0.06101332,0,0,0.26920122,0,0.64060926
0,0,0,0,0,0.055639632,0.065716214,0.42568532,0.16474064,0.2739185
0,0,0,0.033817768,0.1573497,0,0,0.20359543,0.20575309,0.39243126
0,0,0,0,0,0,0,0,0.81723994,0.16675757
0,0,0,0.03976525,0.14790824,0,0.016796991,0.3589225,0,0.43197405
0,0,0,0.022940021,0,0.23969017,0,0,0.17101206,0.5580137
0,0,0.049246263,0.22146896,0.25081554,0,0,0,0,0.45343295
0,0,0,0,0.09753173,0,0,0.58023715,0.30732125,0
0.12500441,0,0,0,0,0.18651636,0,0,0,0.6738696
0.21920453,0,0,0.03740068,0,0,0,0,0.42668837,0.29789746
0,0,0,0,0,0,0,0.10188955,0.2772168,0.60461
0.27174446,0,0,0,0.066226825,0,0,0.6065285,0,0.05013498
0.076007865,0,0,0.075950354,0,0,0,0,0.56457925,0.278286
0.09777735,0,0,0.17914216,0,0.025823433,0,0,0.1449722,0.547381
0.019383598,0,0,0,0.29580495,0,0,0.036954213,0.47841692,0.16573511
0.019783886,0,0,0,0,0,0,0,0.07904858,0.8911471
0.09204217,0,0,0,0,0,0,0.045731768,0,0.8451155
0,0,0,0,0.09520469,0,0,0,0.16914943,0.7253476
0,0,0,0,0.11169426,0,0,0,0.7881102,0.0889021
0,0,0,0.015584698,0.032406025,0,0,0,0.2389892,0.7061963
0,0,0,0.14308153,0.20982467,0,0,0,0.023644773,0.6167591
0,0.048248935,0,0,0,0,0,0,0.26348937,0.65635717
0.114833094,0,0.024533518,0.010512295,0,0.01090827,0,0.042508688,0.54518205,0.24915528
0,0.27040473,0,0,0.3501623,0.08928907,0,0.1471587,0.031914514,0.1080597
0.014994197,0.05063827,0.0116747795,0.47877157,0.097807795,0.052436285,0,0.13851966,0.15397553,0
0,0,0,0,0,0,0,0,0.25750425,0.72086847
0,0,0,0,0,0,0,0,0.20394748,0.78032506
0,0,0,0,0,0,0,0,0,0.9689627
0,0,0,0,0,0,0,0,0.19379623,0.78195477
0.14291038,0,0,0,0.035165858,0,0,0,0.37505108,0.43596008
0.022684392,0,0.016621131,0,0.21456876,0.068128124,0,0,0,0.6702943
0,0,0.021539098,0,0,0.044419676,0,0.15416275,0,0.76831514
0,0,0,0,0,0,0.26615492,0.29498148,0,0.43225372
0,0,0,0,0.14319208,0.19913578,0,0.066321924,0.19571601,0.39086643
0.15344891,0,0,0,0,0.23499802,0,0.11107665,0,0.4874086
0.565812,0.07076602,0,0,0,0,0,0,0.06318851,0.28966945
0.6670431,0.08071044,0,0,0,0,0,0,0,0.23764348
0.75213116,0,0,0,0,0,0,0,0,0.23428912
0.22951218,0,0,0.30705357,0,0,0,0.059971184,0.3297263,0.06151911
0.45450652,0,0,0,0,0,0,0,0.31547794,0.22157982
0.44829872,0,0,0.02408352,0,0,0,0,0.2033893,0.3163957
0.09350584,0.017751176,0,0,0,0,0,0.14657153,0.52993494,0.20572457
0.5776306,0.02377164,0,0.07213946,0,0,0,0,0,0.31339526
0.58837533,0,0,0,0,0,0.013082606,0,0.20568348,0.1775175
0.67619336,0,0,0.031611495,0,0,0,0,0.053447623,0.22530621
0.09783079,0,0,0,0,0,0,0,0,0.89177334
0.6856939,0,0,0,0,0,0,0,0.13101423,0.1729935
0.5445258,0,0,0,0,0,0.16971122,0.064530626,0.17607455,0.036299955
